,title,subtitle,num_colors,url,price,description,details,colors,n_reviews,avg_stars
0,Nizza Comfort Shoes,Children Originals,,/us/nizza-comfort-shoes/GX4097.html,$55,"Classic adidas Nizza style for everyday life. These kids' shoes are comfortable thanks to the lightweight, cushiony midsole. The hook-and-loop straps make it a breeze to slip them on (and off).

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Hook-and-loop strap closure; Synthetic upper; Synthetic lining; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Cloud White / Cloud White; Product code: GX4097,,5,5.0
1,Adizero Afterburner NWV Cleats,Men's Baseball,9 colors,/us/adizero-afterburner-nwv-cleats/GZ4578.html,$140,"When there's 90 feet between you and glory, there's no room for an inch of hesitation. Whether you plan to steal second or take the wide turn for extra bases, these adidas baseball cleats have that superlight feel to let you run free. A LIGHTLOCK upper secures your feet while the Lightstrike midsole cushions upon impact without adding weight. Now you can make that highlight-reel catch or turn on the jets to give your team the edge.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Regular fit; Lace closure; LIGHTLOCK upper; Sock-like fit; Lightstrike midsole; Cleated synthetic outsole; Textile lining; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Impact Orange / Beam Orange / Pulse Lilac; Product code: GZ4578, Impact Orange / Beam Orange / Pulse Lilac,9,5.0
2,Swift Run 22 Shoes,Youth Sportswear,2 colors,/us/swift-run-22-shoes/GX9210.html,$70,"Comfort makes all the difference. Since these juniors' Swift Run 22 Shoes are inspired by classic adidas running styles, they're all about keeping up with a fast pace. A soft EVA midsole comes in with lightweight cushioning, so no matter how you're moving, you feel supported and confident.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Closed knit mesh upper; OrthoLite® sockliner; EVA midsole; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Mineral Blue / Mineral Blue / Core Black; Product code: GX9210, Pulse Magenta / Pulse Magenta / Core Black,,
3,Adizero Afterburner 8 Cleats,Men's Baseball,7 colors,/us/adizero-afterburner-8-cleats/FZ4216.html,$100,"Light on weight, long on comfort. These adidas baseball cleats are tailored for speed. The Sprintskin upper delivers elevated support, while the Lightstrike midsole offers superlight cushioning, relieving cleat pressure to keep you flying.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",Lace closure; Sprintskin upper; Lightweight; Textile upper; Lightstrike midsole; Cleated synthetic outsole; Imported; Product color: Team Power Red / Cloud White / Cloud White; Product code: FZ4216, Royal Blue / Cloud White / Cloud White,48,4.6
4,Y-3 Qisan Cozy Shoes,Y-3,,/us/y-3-qisan-cozy-shoes/GX1080.html,$400,"""Y-3 is a strong examination of the blend of sport and style and the tension caused by mixing tradition with all that is modern.""  — Yohji Yamamoto 

Y-3 blends inspiration from its past with state-of-the-art adidas technology to introduce a new silhouette. The Qisan Cozy Shoes take cues from the iconic Y-3 Qasa, borrowing inspiration from the heel tab to complete the slip-on design. A neoprene upper with leather and rubber detailing establishes the connection further. The TPU plate shines through the distinctive tooling.",Slip-on; Neoprene upper with leather and rubber detailing; Suede lining; Lightstrike cushioning; Rubber outsole; Imported; Product color: Black / Blush Green / Red; Product code: GX1080,,17,4.5
5,ZNCHILL LIGHTMOTION+ Lifestyle Adult Shoe,Women's Sportswear,7 colors,https://www.adidas.com/us/znchill-lightmotion-plus-lifestyle-adult-shoe/GZ4904.html,$120,"Is it the shape? Is it the color play? One way or another, these chunky adidas sneakers will win you over. The textile upper is comfy and casual. The LIGHTMOTION midsole is soft and springy, while the rubber outsole gives plenty of grip to keep you grounded on slushy streets. Pair yours with cuffed joggers or a maxi dress, and they'll score you some likes on your socials too. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Lace closure; Textile upper; LIGHTMOTION cushioning; Textile lining; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Carbon / Grey Six; Product code: GZ4904, Almost Blue / Beam Yellow / Grey One,14,4.4
6,Tiana Stan Smith Shoes,Children Originals,2 colors,https://www.adidas.com/us/tiana-stan-smith-shoes/GW4537.html,$70,"For over 50 years, the adidas Stan Smith sneaker has solidified its place as a style icon. Now this kids' version gets a magical update with these shoes inspired by Tiana, the princess from Disney's ""The Princess and the Frog."" Make a statement with cool green details set on a synthetic leather upper and a printed sockliner that adds a fun detail to classic comfort. The heel patches are a reminder that ""It's not easy being green,"" so it's important to do our best for the planet. A snug fit with an OrthoLite® sockliner ensures that comfort isn't sacrificed for style.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Hook-and-loop straps; Synthetic leather upper; OrthoLite® sockliner; Textile lining; ©Disney; Recycled rubber outsole made with 10% recycled material derived from production waste; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Pantone / Pantone; Product code: GW4537, Pantone / Cloud White / Core Black,,
7,Icon 7 Cleats,Men's Baseball,6 colors,https://www.adidas.com/us/icon-7-cleats/S23861.html,$90,There's more to explosive movement than pure speed. These adidas baseball cleats keep you fast while giving you the stability you need to increase power. The upper is tailored to feel like a natural extension of the foot with a Molded sockliner and extra lockdown at the heel. Lightstrike offers superlight cushioning for dynamic movement.,Lace closure; Textile upper; Lightweight; Lightstrike midsole; Molded sockliner; Cleated metal and TPU outsole; Imported; Product color: Team Power Red / Cloud White / Silver Metallic; Product code: S23861, Royal Blue / Cloud White / Silver Metallic,10,4.1
8,,,,/us/web-boost-running-shoes/GZ6444.html,,"Getting in a few miles or running to the store. These adidas shoes have all the techs to make short-distance training a breeze, and you'll want to wear them on rest days too. The upper has cutouts for airflow, acting like a harness for the stretchy inner bootie. The BOOST midsole is wrapped in 3D Stretchweb to enhance the feeling of energy return.",Regular fit; Lace closure; Textile upper; BOOST midsole; Textile lining; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Magic Grey Met / Impact Orange / Shadow Navy; Product code: GZ6444, Cloud White / Grey Two / Crystal White,7,4.7
9,,,,/us/solarmotion-spikeless-shoes/GX6424.html,,"Long summer days are meant to be spent on the course. Walk your rounds without ever thinking about your feet in the adidas Solarmotion spikeless golf shoes. A hybrid BOOST and Lightstrike midsole combines energy return with a super-light feel to keep you feeling fresh and focused through a full 18 holes and beyond. The secure, grounded feel of the Gripmore outsole lets you swing with confidence and transition to the clubhouse with ease. A breathable mesh upper keeps the air flowing and resists wet conditions for comfort that lets you focus on the game.",Regular fit; Lace closure; Waterproof film over textile upper; Slow resilient sockliner; Lightstrike cushioning; BOOST in heel; Gripmore® Traxion spikeless outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Cloud White / Pulse Lime; Product code: GX6424, Cloud White / Core Black / Pulse Lime,6,5.0
